ad_group_id,ad_group_name,type,keyword_count,bid_strategy,max_cpc,target_cpa,daily_budget,priority,status
ad_group_001,Zomato_Brand_Keywords,brand,98,manual_cpc,5.46540462307372,58.44897959183683,125.0,high,active
ad_group_002,Zomato_online_food_ordering_Category,category,70,manual_cpc,3.9240300000000006,83.28571428571438,75.0,medium,active
ad_group_003,Zomato_Competitor_compare_food_deliver,competitor,6,manual_cpc,3.90885,84.0,40.0,low,active
ad_group_004,Zomato_Location_food_delivery_near_m,location,11,manual_cpc,3.5534999999999997,70.0,50.0,medium,active
ad_group_005,Zomato_LongTail_best_food_delivery_a,long_tail,46,manual_cpc,2.842800000000001,76.99999999999996,25.0,low,active
